                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4946,                0.57602,                 1.0327,                0.89466,                0.64413,                0.71421,                0.62895,                0.54693,                0.73844,                0.83163,             0.00060303,             0.00060303,             0.00060303
                     37,                 0.4933,                0.56906,                 1.0261,                0.82911,                0.63254,                0.69365,                0.61603,                0.53318,                0.77448,                0.81744,             0.00059403,             0.00059403,             0.00059403
                     38,                0.49694,                0.57059,                 1.0316,                0.87276,                0.65519,                 0.7142,                 0.6282,                0.53775,                0.75863,                0.82838,             0.00058503,             0.00058503,             0.00058503
                     39,                0.49979,                0.57088,                 1.0352,                0.80608,                0.63595,                0.68746,                0.59963,                0.56545,                0.88646,                0.85917,             0.00057603,             0.00057603,             0.00057603
                     40,                0.48978,                0.54428,                 1.0233,                0.90356,                0.61653,                0.72513,                 0.6226,                0.56731,                0.79915,                0.85672,             0.00056703,             0.00056703,             0.00056703
                     41,                0.48905,                0.55502,                 1.0272,                0.73926,                0.51333,                0.55594,                0.41871,                0.87388,                 1.3724,                 1.2008,             0.00055804,             0.00055804,             0.00055804
                     42,                0.48814,                0.53634,                  1.027,                0.81237,                0.67019,                0.70688,                0.61132,                0.58993,                0.80968,                0.85767,             0.00054904,             0.00054904,             0.00054904
                     43,                0.47887,                0.53178,                 1.0196,                0.85485,                 0.6362,                0.71114,                0.62676,                0.56442,                0.78324,                0.83281,             0.00054004,             0.00054004,             0.00054004
                     44,                 0.4697,                0.52282,                 1.0167,                0.86562,                 0.6485,                0.72295,                0.63479,                0.54731,                0.71043,                 0.8228,             0.00053104,             0.00053104,             0.00053104
                     45,                0.47178,                0.52051,                  1.016,                0.84258,                0.67925,                0.72047,                0.64666,                0.53696,                 0.6957,                0.81387,             0.00052204,             0.00052204,             0.00052204
                     46,                0.47814,                0.51947,                 1.0191,                0.80264,                0.67145,                0.70661,                0.63419,                0.53311,                0.80293,                 0.8289,             0.00051304,             0.00051304,             0.00051304
